Polymer,RDF
"[(1, 'E20'), (2, 'E20'), (3, 'E8'), (4, 'S19'), (5, 'S20'), (6, 'E11'), (7, 'S2'), (8, 'S15'), (9, 'S0'), (10, 'S14'), (11, 'E11'), (12, 'E11'), (13, 'E0'), (14, 'E20'), (15, 'E5'), (16, 'S2'), (17, 'E6'), (18, 'E4'), (19, 'E9'), (20, 'E20')]",2.4659938609325707
"[(1, 'S2'), (2, 'S20'), (3, 'S10'), (4, 'E12'), (5, 'S11'), (6, 'S7'), (7, 'S8'), (8, 'E20'), (9, 'E0'), (10, 'E9'), (11, 'S4'), (12, 'S20'), (13, 'E15'), (14, 'E20'), (15, 'S5'), (16, 'S9'), (17, 'E14'), (18, 'E11'), (19, 'S12'), (20, 'E20')]",2.5647178287299255
"[(1, 'E4'), (2, 'E5'), (3, 'S20'), (4, 'S11'), (5, 'S5'), (6, 'S6'), (7, 'S5'), (8, 'S20'), (9, 'S18'), (10, 'S4'), (11, 'E20'), (12, 'S18'), (13, 'S1'), (14, 'S7'), (15, 'E17'), (16, 'E20'), (17, 'S5'), (18, 'E20'), (19, 'S20'), (20, 'S11')]",2.277543339805284
"[(1, 'S2'), (2, 'S8'), (3, 'E16'), (4, 'S1'), (5, 'S9'), (6, 'E20'), (7, 'S20'), (8, 'E20'), (9, 'E1'), (10, 'S6'), (11, 'E4'), (12, 'E11'), (13, 'S20'), (14, 'S9'), (15, 'E10'), (16, 'S12'), (17, 'S2'), (18, 'S15'), (19, 'S5'), (20, 'E20')]",2.361711621088503
"[(1, 'S20'), (2, 'E5'), (3, 'E18'), (4, 'S20'), (5, 'S12'), (6, 'S20'), (7, 'E5'), (8, 'S1'), (9, 'S8'), (10, 'S20'), (11, 'E16'), (12, 'S5'), (13, 'S12'), (14, 'S11'), (15, 'S0'), (16, 'S15'), (17, 'E20'), (18, 'E13'), (19, 'E10'), (20, 'S20')]",2.189003090241016
"[(1, 'S6'), (2, 'E16'), (3, 'E3'), (4, 'E6'), (5, 'E1'), (6, 'S5'), (7, 'S3'), (8, 'S14'), (9, 'S6'), (10, 'E17'), (11, 'E20'), (12, 'S20'), (13, 'E9'), (14, 'E20'), (15, 'S1'), (16, 'S6'), (17, 'E11'), (18, 'E3'), (19, 'E5'), (20, 'E9')]",2.2938699108763103
"[(1, 'E6'), (2, 'E2'), (3, 'S16'), (4, 'S20'), (5, 'E5'), (6, 'E1'), (7, 'S1'), (8, 'S2'), (9, 'E20'), (10, 'E3'), (11, 'E17'), (12, 'S2'), (13, 'E20'), (14, 'S12'), (15, 'S8'), (16, 'E20'), (17, 'E7'), (18, 'E20'), (19, 'S16'), (20, 'E14')]",2.465234817997498
"[(1, 'E20'), (2, 'E19'), (3, 'E6'), (4, 'S12'), (5, 'E4'), (6, 'E6'), (7, 'E15'), (8, 'S20'), (9, 'E17'), (10, 'S6'), (11, 'E5'), (12, 'S7'), (13, 'S5'), (14, 'S6'), (15, 'S13'), (16, 'S11'), (17, 'E8'), (18, 'S6'), (19, 'S10'), (20, 'S20')]",2.2345633260284643
"[(1, 'S18'), (2, 'S2'), (3, 'S20'), (4, 'S3'), (5, 'S7'), (6, 'S11'), (7, 'E20'), (8, 'S20'), (9, 'E6'), (10, 'E9'), (11, 'S7'), (12, 'S13'), (13, 'E4'), (14, 'E3'), (15, 'S4'), (16, 'E6'), (17, 'S12'), (18, 'S6'), (19, 'S7'), (20, 'E9')]",1.9726702097623097
"[(1, 'E16'), (2, 'E20'), (3, 'S20'), (4, 'E15'), (5, 'E17'), (6, 'E5'), (7, 'S7'), (8, 'E5'), (9, 'E20'), (10, 'S20'), (11, 'E3'), (12, 'E5'), (13, 'S12'), (14, 'S14'), (15, 'S15'), (16, 'E7'), (17, 'S17'), (18, 'S20'), (19, 'S10'), (20, 'S20')]",2.3129789170323676
