Polymer,RDF
"[(1, 'S10'), (2, 'E10'), (3, 'S5'), (4, 'E2'), (5, 'S7'), (6, 'S20'), (7, 'E17'), (8, 'E3'), (9, 'E17'), (10, 'S2'), (11, 'S1'), (12, 'S4'), (13, 'E20'), (14, 'S15'), (15, 'S1'), (16, 'S1'), (17, 'E0'), (18, 'S9')]",2.1493519267250036
"[(1, 'S10'), (2, 'S20'), (3, 'S6'), (4, 'E11'), (5, 'S19'), (6, 'E2'), (7, 'E8'), (8, 'E8'), (9, 'E16'), (10, 'S2'), (11, 'E20'), (12, 'S0'), (13, 'E20'), (14, 'S5'), (15, 'S3'), (16, 'E6'), (17, 'S3'), (18, 'E20')]",2.415316327675569
"[(1, 'S20'), (2, 'E18'), (3, 'E13'), (4, 'S19'), (5, 'S6'), (6, 'S6'), (7, 'S10'), (8, 'S6'), (9, 'E3'), (10, 'S1'), (11, 'E9'), (12, 'S20'), (13, 'E17'), (14, 'E10'), (15, 'S20'), (16, 'S3'), (17, 'S8'), (18, 'E15')]",2.2490288705339054
"[(1, 'S2'), (2, 'E7'), (3, 'S0'), (4, 'E18'), (5, 'E14'), (6, 'S17'), (7, 'S4'), (8, 'E20'), (9, 'S20'), (10, 'E15'), (11, 'S20'), (12, 'E12'), (13, 'S7'), (14, 'E4'), (15, 'E17'), (16, 'S1'), (17, 'S7'), (18, 'S3')]",2.437830159542173
"[(1, 'S13'), (2, 'S16'), (3, 'E10'), (4, 'E3'), (5, 'S20'), (6, 'S10'), (7, 'E14'), (8, 'E8'), (9, 'E9'), (10, 'S17'), (11, 'S12'), (12, 'S7'), (13, 'S8'), (14, 'S2'), (15, 'S7'), (16, 'S1'), (17, 'E10'), (18, 'E5')]",1.9853463044030057
"[(1, 'S6'), (2, 'E11'), (3, 'S20'), (4, 'S9'), (5, 'S2'), (6, 'E5'), (7, 'E9'), (8, 'E1'), (9, 'S17'), (10, 'E20'), (11, 'S4'), (12, 'S17'), (13, 'S13'), (14, 'E5'), (15, 'E4'), (16, 'S0'), (17, 'S9'), (18, 'E9')]",1.9898428607778804
"[(1, 'S13'), (2, 'S17'), (3, 'E19'), (4, 'S3'), (5, 'S2'), (6, 'S20'), (7, 'S5'), (8, 'S6'), (9, 'E13'), (10, 'E0'), (11, 'E6'), (12, 'S20'), (13, 'E10'), (14, 'S3'), (15, 'S17'), (16, 'E4'), (17, 'E5'), (18, 'S1')]",1.9880477831020436
"[(1, 'E7'), (2, 'S3'), (3, 'E13'), (4, 'S8'), (5, 'S3'), (6, 'S10'), (7, 'E1'), (8, 'E3'), (9, 'S11'), (10, 'E1'), (11, 'E20'), (12, 'E20'), (13, 'S20'), (14, 'S14'), (15, 'E13'), (16, 'S20'), (17, 'S11'), (18, 'S20')]",2.1486434694022734
"[(1, 'E1'), (2, 'E20'), (3, 'S18'), (4, 'E18'), (5, 'S2'), (6, 'S20'), (7, 'E15'), (8, 'S10'), (9, 'E19'), (10, 'E20'), (11, 'E14'), (12, 'S20'), (13, 'E11'), (14, 'S9'), (15, 'E7'), (16, 'E1'), (17, 'E0'), (18, 'S11')]",2.4955185222949297
"[(1, 'E3'), (2, 'S15'), (3, 'S20'), (4, 'E4'), (5, 'S5'), (6, 'E5'), (7, 'E18'), (8, 'S10'), (9, 'E9'), (10, 'S20'), (11, 'S5'), (12, 'S12'), (13, 'E20'), (14, 'E20'), (15, 'S15'), (16, 'E14'), (17, 'E18'), (18, 'S6')]",2.3787107802724847
"[(1, 'E5'), (2, 'E5'), (3, 'S3'), (4, 'S15'), (5, 'S2'), (6, 'S14'), (7, 'S20'), (8, 'S15'), (9, 'S8'), (10, 'E20'), (11, 'S1'), (12, 'S17'), (13, 'S12'), (14, 'E20'), (15, 'E20'), (16, 'E19'), (17, 'S1'), (18, 'S18')]",2.33844916097172
"[(1, 'E7'), (2, 'S20'), (3, 'S6'), (4, 'E8'), (5, 'S17'), (6, 'S15'), (7, 'E7'), (8, 'S9'), (9, 'E20'), (10, 'S16'), (11, 'S20'), (12, 'E4'), (13, 'E20'), (14, 'E9'), (15, 'S17'), (16, 'S7'), (17, 'S2'), (18, 'E20')]",2.2857815172751828
"[(1, 'S19'), (2, 'E10'), (3, 'E1'), (4, 'S2'), (5, 'S20'), (6, 'E10'), (7, 'S4'), (8, 'E3'), (9, 'E2'), (10, 'S3'), (11, 'S16'), (12, 'E7'), (13, 'S2'), (14, 'S7'), (15, 'S5'), (16, 'E3'), (17, 'E8'), (18, 'S8')]",1.8075828327988783
"[(1, 'S7'), (2, 'S12'), (3, 'E7'), (4, 'S10'), (5, 'S8'), (6, 'E9'), (7, 'E10'), (8, 'E20'), (9, 'S6'), (10, 'E20'), (11, 'S13'), (12, 'S8'), (13, 'S15'), (14, 'S20'), (15, 'S20'), (16, 'S3'), (17, 'E2'), (18, 'E18')]",2.260233518980286
"[(1, 'S10'), (2, 'S20'), (3, 'E9'), (4, 'E8'), (5, 'S13'), (6, 'S11'), (7, 'E3'), (8, 'E2'), (9, 'S5'), (10, 'E2'), (11, 'E20'), (12, 'S12'), (13, 'S20'), (14, 'E1'), (15, 'S20'), (16, 'E3'), (17, 'E20'), (18, 'E12')]",2.058868820928126
"[(1, 'S5'), (2, 'E4'), (3, 'S17'), (4, 'E8'), (5, 'S16'), (6, 'E5'), (7, 'E10'), (8, 'S17'), (9, 'E10'), (10, 'E3'), (11, 'E14'), (12, 'E4'), (13, 'S11'), (14, 'E6'), (15, 'E12'), (16, 'E20'), (17, 'S8'), (18, 'S3')]",2.0988441981130137
"[(1, 'S8'), (2, 'S12'), (3, 'S6'), (4, 'S13'), (5, 'S20'), (6, 'S15'), (7, 'E12'), (8, 'E20'), (9, 'E8'), (10, 'S16'), (11, 'E1'), (12, 'E0'), (13, 'S12'), (14, 'S10'), (15, 'S18'), (16, 'S9'), (17, 'E5'), (18, 'S14')]",2.008795323223108
"[(1, 'S20'), (2, 'S9'), (3, 'E6'), (4, 'E4'), (5, 'S20'), (6, 'S13'), (7, 'E20'), (8, 'S12'), (9, 'E18'), (10, 'S7'), (11, 'S14'), (12, 'E2'), (13, 'S13'), (14, 'S2'), (15, 'S2'), (16, 'S11'), (17, 'E15'), (18, 'S8')]",2.060728117103519
"[(1, 'S20'), (2, 'S3'), (3, 'E20'), (4, 'E11'), (5, 'S20'), (6, 'S0'), (7, 'E20'), (8, 'E13'), (9, 'E4'), (10, 'S17'), (11, 'S18'), (12, 'E16'), (13, 'S8'), (14, 'S20'), (15, 'S20'), (16, 'S8'), (17, 'E13'), (18, 'E20')]",2.482045089728743
"[(1, 'S20'), (2, 'E0'), (3, 'E8'), (4, 'S13'), (5, 'E20'), (6, 'S6'), (7, 'E11'), (8, 'E20'), (9, 'E15'), (10, 'E13'), (11, 'S18'), (12, 'E0'), (13, 'S4'), (14, 'S20'), (15, 'S12'), (16, 'S16'), (17, 'E20'), (18, 'E6')]",2.502767725168539
"[(1, 'E15'), (2, 'S9'), (3, 'E20'), (4, 'E6'), (5, 'E12'), (6, 'S6'), (7, 'S9'), (8, 'E14'), (9, 'S4'), (10, 'E19'), (11, 'S15'), (12, 'S4'), (13, 'E3'), (14, 'E14'), (15, 'S6'), (16, 'S8'), (17, 'E6'), (18, 'E14')]",2.461286682110398
"[(1, 'E16'), (2, 'S18'), (3, 'E20'), (4, 'E14'), (5, 'S18'), (6, 'S20'), (7, 'S20'), (8, 'S1'), (9, 'S8'), (10, 'S12'), (11, 'S8'), (12, 'E8'), (13, 'E6'), (14, 'E20'), (15, 'S20'), (16, 'S13'), (17, 'S2'), (18, 'E7')]",2.3113757347772648
"[(1, 'S1'), (2, 'S0'), (3, 'E3'), (4, 'E19'), (5, 'E6'), (6, 'S12'), (7, 'E14'), (8, 'E20'), (9, 'E15'), (10, 'E8'), (11, 'E0'), (12, 'E15'), (13, 'S20'), (14, 'S4'), (15, 'S11'), (16, 'S3'), (17, 'E20'), (18, 'S17')]",2.488043754165261
"[(1, 'S20'), (2, 'S8'), (3, 'S3'), (4, 'S1'), (5, 'E13'), (6, 'E11'), (7, 'E0'), (8, 'S4'), (9, 'E9'), (10, 'S13'), (11, 'S7'), (12, 'S7'), (13, 'S20'), (14, 'E5'), (15, 'S13'), (16, 'S9'), (17, 'E20'), (18, 'S3')]",2.092769493539272
"[(1, 'S20'), (2, 'S8'), (3, 'E3'), (4, 'E9'), (5, 'S7'), (6, 'S2'), (7, 'E8'), (8, 'E17'), (9, 'E13'), (10, 'S19'), (11, 'S18'), (12, 'S12'), (13, 'S20'), (14, 'S20'), (15, 'E20'), (16, 'E9'), (17, 'S4'), (18, 'E20')]",2.329790482513289
