Polymer,RDF
"[(1, 'E9'), (2, 'S20'), (3, 'E7'), (4, 'S4'), (5, 'S20'), (6, 'S20'), (7, 'S15'), (8, 'S20'), (9, 'E16'), (10, 'S20'), (11, 'E6'), (12, 'S13'), (13, 'S16')]",1.8372279927931956
"[(1, 'E9'), (2, 'E8'), (3, 'S20'), (4, 'E20'), (5, 'S2'), (6, 'S20'), (7, 'E2'), (8, 'E3'), (9, 'S12'), (10, 'S18'), (11, 'S8'), (12, 'S18'), (13, 'S5')]",2.001166340132027
"[(1, 'E20'), (2, 'S1'), (3, 'E7'), (4, 'E9'), (5, 'E7'), (6, 'S8'), (7, 'E4'), (8, 'E20'), (9, 'E20'), (10, 'E11'), (11, 'E1'), (12, 'S10'), (13, 'S3')]",2.3374915598050805
"[(1, 'E0'), (2, 'E10'), (3, 'S11'), (4, 'S13'), (5, 'E20'), (6, 'E6'), (7, 'S12'), (8, 'E2'), (9, 'E20'), (10, 'S13'), (11, 'E6'), (12, 'S20'), (13, 'S3')]",2.1580461832995326
"[(1, 'S7'), (2, 'S3'), (3, 'E0'), (4, 'S10'), (5, 'S20'), (6, 'S2'), (7, 'E20'), (8, 'S6'), (9, 'S20'), (10, 'E4'), (11, 'S12'), (12, 'S6'), (13, 'E2')]",1.9578179634786288
"[(1, 'S8'), (2, 'S19'), (3, 'E9'), (4, 'S4'), (5, 'E1'), (6, 'S13'), (7, 'S20'), (8, 'S8'), (9, 'E13'), (10, 'S20'), (11, 'S20'), (12, 'S20'), (13, 'E20')]",2.017072976230004
"[(1, 'E11'), (2, 'E20'), (3, 'S3'), (4, 'S3'), (5, 'S7'), (6, 'S20'), (7, 'S4'), (8, 'S12'), (9, 'E2'), (10, 'E10'), (11, 'E15'), (12, 'E13'), (13, 'S6')]",2.2609965078518712
"[(1, 'S20'), (2, 'E20'), (3, 'E3'), (4, 'E19'), (5, 'E19'), (6, 'S20'), (7, 'E20'), (8, 'S4'), (9, 'E10'), (10, 'S0'), (11, 'S19'), (12, 'S4'), (13, 'E4')]",2.425425622958528
"[(1, 'S20'), (2, 'S20'), (3, 'S5'), (4, 'S12'), (5, 'E18'), (6, 'S3'), (7, 'E3'), (8, 'S3'), (9, 'S9'), (10, 'S11'), (11, 'E7'), (12, 'E20'), (13, 'S9')]",2.1267108222339957
"[(1, 'E14'), (2, 'E4'), (3, 'S2'), (4, 'S2'), (5, 'E4'), (6, 'E20'), (7, 'E12'), (8, 'S2'), (9, 'S12'), (10, 'E11'), (11, 'E8'), (12, 'S4'), (13, 'S18')]",2.171665453797978
