Polymer,RDF
"[(1, 'S7'), (2, 'S9'), (3, 'S1'), (4, 'E5'), (5, 'E5'), (6, 'S15'), (7, 'E15'), (8, 'S2'), (9, 'S0'), (10, 'E20')]",2.122656178404796
"[(1, 'S20'), (2, 'S20'), (3, 'E1'), (4, 'E6'), (5, 'S20'), (6, 'S8'), (7, 'E7'), (8, 'S20'), (9, 'S0'), (10, 'E6')]",1.709124619378386
"[(1, 'S1'), (2, 'E5'), (3, 'S3'), (4, 'E20'), (5, 'E0'), (6, 'E10'), (7, 'E20'), (8, 'E14'), (9, 'S2'), (10, 'S0')]",2.2664791602300056
"[(1, 'S8'), (2, 'E3'), (3, 'E15'), (4, 'S20'), (5, 'E2'), (6, 'E20'), (7, 'S15'), (8, 'S2'), (9, 'E5'), (10, 'S19')]",2.037768539957824
"[(1, 'S20'), (2, 'S11'), (3, 'E18'), (4, 'S9'), (5, 'E17'), (6, 'E3'), (7, 'S20'), (8, 'S18'), (9, 'S7'), (10, 'E14')]",2.1801133480904014
"[(1, 'E15'), (2, 'E11'), (3, 'E16'), (4, 'S4'), (5, 'E20'), (6, 'E1'), (7, 'E2'), (8, 'E10'), (9, 'S4'), (10, 'S4')]",2.269784625965414
"[(1, 'E20'), (2, 'S20'), (3, 'E3'), (4, 'E20'), (5, 'E6'), (6, 'E0'), (7, 'S13'), (8, 'E11'), (9, 'E13'), (10, 'S2')]",2.2649984313817626
"[(1, 'E16'), (2, 'S20'), (3, 'E6'), (4, 'E5'), (5, 'S11'), (6, 'S20'), (7, 'E2'), (8, 'S5'), (9, 'E11'), (10, 'E4')]",1.9745636124135437
"[(1, 'S18'), (2, 'S7'), (3, 'S1'), (4, 'E2'), (5, 'S11'), (6, 'E13'), (7, 'S9'), (8, 'S10'), (9, 'E17'), (10, 'S2')]",2.0299715149556654
"[(1, 'E1'), (2, 'S20'), (3, 'S16'), (4, 'E6'), (5, 'E13'), (6, 'S4'), (7, 'S20'), (8, 'E6'), (9, 'E13'), (10, 'S8')]",1.981477637089771
"[(1, 'S20'), (2, 'S14'), (3, 'E16'), (4, 'S12'), (5, 'E3'), (6, 'S20'), (7, 'S18'), (8, 'S20'), (9, 'S13'), (10, 'E11')]",1.932682946252271
"[(1, 'S19'), (2, 'S8'), (3, 'E11'), (4, 'E6'), (5, 'S10'), (6, 'E16'), (7, 'S10'), (8, 'S20'), (9, 'E2'), (10, 'E8')]",2.011486257862284
"[(1, 'S2'), (2, 'S20'), (3, 'S16'), (4, 'S15'), (5, 'S20'), (6, 'E13'), (7, 'S17'), (8, 'E8'), (9, 'S20'), (10, 'E11')]",2.0197498898570636
"[(1, 'S20'), (2, 'S20'), (3, 'E18'), (4, 'E1'), (5, 'S20'), (6, 'S6'), (7, 'E20'), (8, 'S20'), (9, 'E20'), (10, 'E4')]",2.217637004951257
