Polymer,RDF
"[(1, 'S20'), (2, 'E0'), (3, 'E0'), (4, 'S19'), (5, 'E10'), (6, 'E13'), (7, 'S16'), (8, 'E13'), (9, 'S7'), (10, 'E16'), (11, 'S10'), (12, 'S15'), (13, 'E1'), (14, 'S2'), (15, 'E16'), (16, 'E14')]",2.277382365001813
"[(1, 'E3'), (2, 'E3'), (3, 'S17'), (4, 'S2'), (5, 'E0'), (6, 'S4'), (7, 'S3'), (8, 'E1'), (9, 'S8'), (10, 'S1'), (11, 'E17'), (12, 'E4'), (13, 'E15'), (14, 'S6'), (15, 'E20'), (16, 'E4')]",2.0712635250142313
"[(1, 'S20'), (2, 'S2'), (3, 'S15'), (4, 'E8'), (5, 'E16'), (6, 'S4'), (7, 'S5'), (8, 'S8'), (9, 'S18'), (10, 'E17'), (11, 'E4'), (12, 'E12'), (13, 'S4'), (14, 'S12'), (15, 'S4'), (16, 'E1')]",2.083794460941249
"[(1, 'E13'), (2, 'S20'), (3, 'E19'), (4, 'S20'), (5, 'E16'), (6, 'S7'), (7, 'S19'), (8, 'E5'), (9, 'S2'), (10, 'S14'), (11, 'E20'), (12, 'E19'), (13, 'S9'), (14, 'E4'), (15, 'S20'), (16, 'S3')]",2.3687855208809765
"[(1, 'S16'), (2, 'E9'), (3, 'S4'), (4, 'E11'), (5, 'E11'), (6, 'S11'), (7, 'S20'), (8, 'E13'), (9, 'S2'), (10, 'E1'), (11, 'S3'), (12, 'E18'), (13, 'S20'), (14, 'E10'), (15, 'S17'), (16, 'E2')]",2.0958741369811804
"[(1, 'E10'), (2, 'E6'), (3, 'E18'), (4, 'E10'), (5, 'E6'), (6, 'S4'), (7, 'E14'), (8, 'E9'), (9, 'S4'), (10, 'E6'), (11, 'S15'), (12, 'S3'), (13, 'E17'), (14, 'S20'), (15, 'E11'), (16, 'S2')]",2.3024249276419297
"[(1, 'E2'), (2, 'E20'), (3, 'E18'), (4, 'S8'), (5, 'S4'), (6, 'E20'), (7, 'S15'), (8, 'E5'), (9, 'E7'), (10, 'S4'), (11, 'S20'), (12, 'S19'), (13, 'S20'), (14, 'S20'), (15, 'S13'), (16, 'E15')]",2.2900239812136363
"[(1, 'S5'), (2, 'S15'), (3, 'S8'), (4, 'E10'), (5, 'S20'), (6, 'S18'), (7, 'S16'), (8, 'E11'), (9, 'S18'), (10, 'S3'), (11, 'E6'), (12, 'S18'), (13, 'E6'), (14, 'E14'), (15, 'E20'), (16, 'E1')]",2.0773849986387702
"[(1, 'S18'), (2, 'S12'), (3, 'E15'), (4, 'E15'), (5, 'S8'), (6, 'E12'), (7, 'S14'), (8, 'S8'), (9, 'E7'), (10, 'S7'), (11, 'E5'), (12, 'E20'), (13, 'S9'), (14, 'E7'), (15, 'S18'), (16, 'E1')]",2.137064086362159
"[(1, 'S0'), (2, 'E20'), (3, 'S19'), (4, 'E3'), (5, 'S12'), (6, 'S4'), (7, 'S19'), (8, 'E1'), (9, 'E12'), (10, 'S3'), (11, 'S20'), (12, 'E15'), (13, 'S1'), (14, 'E12'), (15, 'E20'), (16, 'E5')]",2.228728417957221
