Input List,Area AVG,RG AVG,RDF Peak
"[(1, 'E0'), (2, 'S4'), (3, 'S6'), (4, 'E9'), (5, 'E8'), (6, 'S3'), (7, 'S3'), (8, 'S3'), (9, 'E9'), (10, 'S7'), (11, 'S9'), (12, 'E3'), (13, 'S5'), (14, 'S5'), (15, 'E9')]",16655.62,18.13,1.96
"[(1, 'E0'), (2, 'S5'), (3, 'S8'), (4, 'S8'), (5, 'S4'), (6, 'S0'), (7, 'E8'), (8, 'S8'), (9, 'E5'), (10, 'E7'), (11, 'S3'), (12, 'E7'), (13, 'E3')]",11280.08981,17.72076304,1.946199283
"[(1, 'E0'), (2, 'S6'), (3, 'E2'), (4, 'E8'), (5, 'S4'), (6, 'E6'), (7, 'S3'), (8, 'S5'), (9, 'E0'), (10, 'E3'), (11, 'S9'), (12, 'E0'), (13, 'E9'), (14, 'S3'), (15, 'E4'), (16, 'E9'), (17, 'E7'), (18, 'E4')]",14350.91229,17.3659866,1.792853691
"[(1, 'E0'), (2, 'S7'), (3, 'E1'), (4, 'S8'), (5, 'S9'), (6, 'E9'), (7, 'S5'), (8, 'E2'), (9, 'E4'), (10, 'E7')]",9831.910748,17.13883842,1.862926835
"[(1, 'E0'), (2, 'S8'), (3, 'E4'), (4, 'E0'), (5, 'E7'), (6, 'E0'), (7, 'S4'), (8, 'E1'), (9, 'S7'), (10, 'E7'), (11, 'E5'), (12, 'E1'), (13, 'S8'), (14, 'E6')]",11482.82,16.97,1.84
"[(1, 'E0'), (2, 'S8'), (3, 'E8'), (4, 'S4'), (5, 'S8'), (6, 'S0'), (7, 'E4'), (8, 'S4'), (9, 'E2'), (10, 'E7'), (11, 'S3'), (12, 'E0'), (13, 'E3'), (14, 'E5'), (15, 'E4'), (16, 'E6'), (17, 'E0')]",11418.36786,18.02790295,1.768297815
"[(1, 'E0'), (2, 'S8'), (3, 'S4'), (4, 'S6'), (5, 'S1'), (6, 'S4'), (7, 'S3'), (8, 'S3'), (9, 'E6'), (10, 'E5'), (11, 'S6'), (12, 'E0'), (13, 'S8'), (14, 'S6'), (15, 'E5'), (16, 'E4')]",12982.11766,18.70033918,1.964648659
"[(1, 'E0'), (2, 'S9'), (3, 'E9'), (4, 'S2'), (5, 'S8'), (6, 'E7'), (7, 'E7'), (8, 'E0'), (9, 'S6'), (10, 'E2'), (11, 'S3'), (12, 'S3'), (13, 'E3'), (14, 'S6'), (15, 'E6'), (16, 'E2')]",14090.76842,17.47104114,1.801805996
"[(1, 'E0'), (2, 'S9'), (3, 'S1'), (4, 'E3'), (5, 'S0'), (6, 'S0'), (7, 'E6'), (8, 'E6'), (9, 'E5'), (10, 'S6'), (11, 'E4'), (12, 'S6'), (13, 'S0')]",8560.07,17.01,1.83
"[(1, 'E1'), (2, 'E1'), (3, 'E5'), (4, 'S5'), (5, 'S0'), (6, 'S4'), (7, 'E4'), (8, 'S9'), (9, 'S7'), (10, 'S3'), (11, 'E4')]",9815.14,16.55,1.73
